name,price_type,rating,rating_count,url
airhockeyvr(physicallybasedmultiplayer/aibots),free,4.37,19,https://sidequestvr.com/app/4709/airhockeyvr-physically-based-multiplayer-ai-bots
vridge2,demo,2.8,30,https://sidequestvr.com/app/10/vridge-2
mythicmage,paid,4.07,27,https://sidequestvr.com/app/1462/mythic-mage
guardiansvr,paidprerelease,4.86,37,https://sidequestvr.com/app/2804/guardians-vr
grappletournamentdemo,free,4.91,11,https://sidequestvr.com/app/5231/grapple-tournament-demo
skysquadron,demo,4.48,31,https://sidequestvr.com/app/1343/sky-squadron
cactuscowboyportalvr,free,4.63,46,https://sidequestvr.com/app/1049/cactus-cowboy-portal-vr
customhome:minecraftbedwarslobby,free,4.33,12,https://sidequestvr.com/app/3909/custom-home-minecraft-bedwars-lobby
z-racedemo,demo,4.64,44,https://sidequestvr.com/app/4811/z-race-demo
bigballersbasketball,paidprerelease,4.56,9,https://sidequestvr.com/app/4616/big-ballers-basketball
meteoricvr,free,5.0,13,https://sidequestvr.com/app/6092/meteoric-vr
racket:nxdemo,demo,4.78,27,https://sidequestvr.com/app/2457/racket-nx-demo
ultrashooter:jurassicdinosaurs(shoot'emupdinohunter),paid,4.67,15,https://sidequestvr.com/app/5614/ultra-shooter-jurassic-dinosaurs-shootem-up-dino-hunter
ancientdungeonbeta,free,4.36,14,https://sidequestvr.com/app/5713/ancient-dungeon-beta
gladiatus,free,4.5,6,https://sidequestvr.com/app/4137/gladiatus
canyoudoit-vrexperience,paid,4.06,16,https://sidequestvr.com/app/3219/can-you-do-it-vr-experience
findmyphoneapp-thegame,free,5.0,14,https://sidequestvr.com/app/2939/find-my-phone-app-the-game
volleggball-demo,free,4.41,22,https://sidequestvr.com/app/2230/volleggball-demo
exvriencegolfclub,paidprerelease,4.11,19,https://sidequestvr.com/app/1621/exvrience-golf-club
handparticle,free,4.72,36,https://sidequestvr.com/app/2012/handparticle
duckhuntvr,free,4.27,26,https://sidequestvr.com/app/4737/duck-hunt-vr
marineversecup-sailing,prerelease,4.63,24,https://sidequestvr.com/app/324/marineverse-cup-sailing
customhome:matrix-loadingvoid,free,3.87,15,https://sidequestvr.com/app/3942/custom-home-matrix-loading-void
phin:physicssandboxalpha,prerelease,4.42,57,https://sidequestvr.com/app/4382/phin-physics-sandbox-alpha
dvg:conqueringgiantsdemo,free,3.63,8,https://sidequestvr.com/app/3665/dvg-conquering-giants-demo
ghostsinthemachine,free,4.52,33,https://sidequestvr.com/app/1467/ghosts-in-the-machine
catchasers,free,4.3,71,https://sidequestvr.com/app/7323/cat-chasers
customhomemapper,paid,4.4,45,https://sidequestvr.com/app/1701/custom-home-mapper
escapeterrorist,free,3.67,9,https://sidequestvr.com/app/2421/escape-terrorist
handtrackingdemos,free,4.28,18,https://sidequestvr.com/app/398/hand-tracking-demos
deadsecond,paid,4.86,37,https://sidequestvr.com/app/5707/dead-second
cat,free,3.4,5,https://sidequestvr.com/app/1579/cat
blacktophoops-vrbasketball,free,4.78,32,https://sidequestvr.com/app/8231/blacktop-hoops-vr-basketball
marathrunfullgamepre-release[alphaversion],prerelease,4.6,20,https://sidequestvr.com/app/3747/marathrun-full-game-pre-release-alpha-version
attackonreality,free,3.5,18,https://sidequestvr.com/app/2407/attack-on-reality
customhome:naruto,free,4.58,12,https://sidequestvr.com/app/3956/custom-home-naruto
gamebov,free,4.11,62,https://sidequestvr.com/app/1199/gamebov
songbeater:quitemytempo!,paid,4.46,54,https://sidequestvr.com/app/385/song-beater-quite-my-tempo
pioneer:endlessjourney,free,4.7,69,https://sidequestvr.com/app/6960/pioneer-endless-journey
granny2vr(unofficial),prerelease,4.36,14,https://sidequestvr.com/app/4663/granny-2-vr-unofficial
lambda1vrlauncher,opensource,4.68,31,https://sidequestvr.com/app/641/lambda1vr-launcher
homeplatebaseballapplab,paid,3.69,13,https://sidequestvr.com/app/27/home-plate-baseball-app-lab
attackontitanrevive-fangame,free,3.19,21,https://sidequestvr.com/app/6099/attack-on-titan-revive-fan-game
slowp,free,4.54,26,https://sidequestvr.com/app/1322/slowp
🏮crazykungfu🏮,paid,4.76,82,https://sidequestvr.com/app/1195/crazy-kung-fu
customhome:portalgladoschamber,free,4.18,28,https://sidequestvr.com/app/3926/custom-home-portal-glados-chamber
flyingsquirrelchase,free,4.73,11,https://sidequestvr.com/app/5215/flying-squirrel-chase
matchpointtennis-freedemo,prerelease,4.53,19,https://sidequestvr.com/app/4091/match-point-tennis-free-demo
abaeternodemo,demo,4.77,44,https://sidequestvr.com/app/4070/ab-aeterno-demo
thunderbulletvr,prerelease,3.84,25,https://sidequestvr.com/app/601/thunderbullet-vr
historiccrafts,free,4.4,10,https://sidequestvr.com/app/4207/historic-crafts
interdimensionalmatter,prerelease,4.5,22,https://sidequestvr.com/app/506/interdimensional-matter
climb&shoot(practicearena),prerelease,4.43,7,https://sidequestvr.com/app/5519/climb-shoot-practice-arena
ironrebellion,paid,5.0,2,https://sidequestvr.com/app/4940/iron-rebellion
swordsman,paid,4.45,20,https://sidequestvr.com/app/9321/swordsman
rayman2vrdemo(fanremake),free,4.77,35,https://sidequestvr.com/app/2175/rayman-2-vr-demo-fan-remake
cactuscowboy-fullyloaded,free,4.68,25,https://sidequestvr.com/app/4315/cactus-cowboy-fully-loaded
airbrigade,paid,3.96,23,https://sidequestvr.com/app/257/air-brigade
forestfarmdemo,free,3.8,5,https://sidequestvr.com/app/2826/forest-farm-demo
starfighterarduximmultiplayer,free,4.17,6,https://sidequestvr.com/app/4854/starfighter-arduxim-multiplayer
babyhands,paid,4.75,8,https://sidequestvr.com/app/3098/baby-hands
crawlspace,free,4.83,12,https://sidequestvr.com/app/6334/crawlspace
shadowvr(earlyaccess),free,3.68,38,https://sidequestvr.com/app/6536/shadow-vr-early-access
gaim,free,1.29,14,https://sidequestvr.com/app/4898/gaim
escapelegacy-sidequest,paid,4.43,37,https://sidequestvr.com/app/1246/escape-legacy-sidequest
stunttrackbuilder,free,4.88,25,https://sidequestvr.com/app/6552/stunt-track-builder
ghostracingvr(wip),free,3.97,30,https://sidequestvr.com/app/1403/ghost-racing-vr-wip
masterofthetattooverse(freedemo),demo,4.78,40,https://sidequestvr.com/app/2839/master-of-the-tattooverse-free-demo
controlroom,free,3.71,7,https://sidequestvr.com/app/3552/control-room
exitconditionone-demo,demo,4.67,27,https://sidequestvr.com/app/4198/exit-condition-one-demo
rickstoilet,free,4.57,30,https://sidequestvr.com/app/367/ricks-toilet
samuraislaughterhouse(freedemo!),paidprerelease,4.25,28,https://sidequestvr.com/app/7848/samurai-slaughter-house-free-demo
sep'sdiner(demo),demo,4.75,12,https://sidequestvr.com/app/2167/seps-diner-demo
godsofgravity,free,4.96,24,https://sidequestvr.com/app/5607/gods-of-gravity
tilltomorrow,prerelease,4.62,26,https://sidequestvr.com/app/5341/till-tomorrow
thevirtualtraveller,free,4.0,9,https://sidequestvr.com/app/4225/the-virtual-traveller
sep'sdiner,paid,4.7,30,https://sidequestvr.com/app/2074/seps-diner
handbox:asandboxforyourhands,prerelease,3.33,9,https://sidequestvr.com/app/4341/handbox-a-sandbox-for-your-hands
flowmeditation,free,4.6,20,https://sidequestvr.com/app/1591/flow-meditation
1976-backtomidwaydemo,demo,4.59,22,https://sidequestvr.com/app/2854/1976-back-to-midway-demo
brutalstrike-counterstrikebrutal-csgo-fpsshooter,free,3.63,27,https://sidequestvr.com/app/6540/brutal-strike-counter-strike-brutal-cs-go-fps-shooter
highseaslite,free,4.68,19,https://sidequestvr.com/app/309/high-seas-lite
polardread,demo,4.67,15,https://sidequestvr.com/app/4275/polardread
tacticalassaultvrdemo,demo,4.53,19,https://sidequestvr.com/app/8699/tactical-assault-vr-demo
handspell|demo,demo,4.5,30,https://sidequestvr.com/app/1248/hand-spell-demo
questappversionswitcher,opensource,2.71,17,https://sidequestvr.com/app/5333/questappversionswitcher
raceforfun,paidprerelease,4.44,9,https://sidequestvr.com/app/4799/race-for-fun
warriorsoftitus,prerelease,4.81,31,https://sidequestvr.com/app/540/warriors-of-titus
cactuscowboy-plantsatwar,free,4.82,38,https://sidequestvr.com/app/7828/cactus-cowboy-plants-at-war
yupitergrad:sneakipeaki,free,4.83,6,https://sidequestvr.com/app/3533/yupitergrad-sneaki-peaki
pokemonvrbut(readdescription),free,3.76,29,https://sidequestvr.com/app/1337/pokemon-vr-but-read-description
bigbatvr,free,3.5,2,https://sidequestvr.com/app/5475/big-bat-vr
restinpieces-sidequest,paid,4.05,21,https://sidequestvr.com/app/1278/rest-in-pieces-sidequest
guitarstrummer,free,4.4,5,https://sidequestvr.com/app/1900/guitar-strummer
bowtales,prerelease,4.29,38,https://sidequestvr.com/app/1228/bow-tales
speedcube,paidprerelease,4.29,7,https://sidequestvr.com/app/1249/speed-cube
soundstage,opensource,4.85,39,https://sidequestvr.com/app/360/soundstage
backroomsnolongerindevelopment,prerelease,4.11,28,https://sidequestvr.com/app/7373/backrooms-no-longer-in-development
fearthelightsout-demo,demo,4.57,7,https://sidequestvr.com/app/1575/fear-the-lights-out-demo
bricksvr,paidprerelease,4.89,18,https://sidequestvr.com/app/3447/bricksvr
deepwatersoloclimbing,demo,4.77,13,https://sidequestvr.com/app/278/deep-water-solo-climbing
monkeymischief,free,4.08,36,https://sidequestvr.com/app/8580/monkey-mischief
customhome:sharkreefwithunderwatersoundormusic,free,4.75,16,https://sidequestvr.com/app/3927/custom-home-shark-reef-with-underwater-sound-or-music
powerbeatsvr-vrfitness,paid,4.93,42,https://sidequestvr.com/app/4680/powerbeatsvr-vr-fitness
hoverquestdemo,demo,4.61,31,https://sidequestvr.com/app/249/hover-quest-demo
backroomsvr,prerelease,3.96,28,https://sidequestvr.com/app/8805/backrooms-vr
fantasyarena,free,4.53,15,https://sidequestvr.com/app/6952/fantasy-arena
saberthingforoculusquest,prerelease,4.88,33,https://sidequestvr.com/app/407/saber-thing-for-oculus-quest
vikingdaysremaster,paid,4.83,72,https://sidequestvr.com/app/5853/viking-days-remaster
spacepilotalliance,paid,4.29,24,https://sidequestvr.com/app/169/space-pilot-alliance
animepowerupsimulator,free,3.5,6,https://sidequestvr.com/app/7331/anime-power-up-simulator
backrooms,free,4.13,16,https://sidequestvr.com/app/7544/backrooms
x-fitness-demo,demo,4.85,27,https://sidequestvr.com/app/2460/x-fitness-demo
firststepswithhandtracking,free,3.89,9,https://sidequestvr.com/app/3358/first-steps-with-hand-tracking
thepassage,free,4.48,29,https://sidequestvr.com/app/5848/the-passage
onepunch,free,4.72,29,https://sidequestvr.com/app/1081/one-punch
ultrasclashv,paidprerelease,4.29,24,https://sidequestvr.com/app/5951/ultrasclash-v
warplanes:battlesoverpacific,paid,4.36,25,https://sidequestvr.com/app/7809/warplanes-battles-over-pacific
simpletheremin,free,4.71,7,https://sidequestvr.com/app/1957/simple-theremin
surviveit,paidprerelease,5.0,2,https://sidequestvr.com/app/3365/survive-it
cleansheet,paid,5.0,7,https://sidequestvr.com/app/6132/cleansheet
firstpersontennis-therealtennissimulator,paid,4.54,13,https://sidequestvr.com/app/5502/first-person-tennis-the-real-tennis-simulator
ghostleaguepre-alphademo,demo,4.21,24,https://sidequestvr.com/app/995/ghost-league-pre-alpha-demo
customhome:peachscastleinterior,free,4.25,8,https://sidequestvr.com/app/4304/custom-home-peachs-castle-interior
swingmaster3000,free,3.2,5,https://sidequestvr.com/app/4552/swing-master-3000
realcommodore64-virtually,free,4.58,26,https://sidequestvr.com/app/3820/real-commodore-64-virtually
matchpointtennis-freedemo,free,4.17,6,https://sidequestvr.com/app/5137/match-point-tennis-free-demo
towerworkout,free,4.85,13,https://sidequestvr.com/app/1002/tower-workout
quake3quest,free,4.91,54,https://sidequestvr.com/app/8601/quake3quest
edenunearthedapplab,free,3.38,8,https://sidequestvr.com/app/5383/eden-unearthed-app-lab
reflexunit2,paid,4.75,28,https://sidequestvr.com/app/615/reflex-unit-2
vrplayer,free,3.89,9,https://sidequestvr.com/app/268/vr-player
handposingtool:piratesdemo,opensource,5.0,10,https://sidequestvr.com/app/2278/hand-posing-tool-pirates-demo
deadeffect2,paid,4.22,9,https://sidequestvr.com/app/4515/dead-effect-2
justhoops,paid,3.5,4,https://sidequestvr.com/app/3969/just-hoops
alvrnightly-oculusquest,opensource,2.33,3,https://sidequestvr.com/app/2281/alvr-nightly-oculus-quest
groovefitkingdom!,free,4.62,34,https://sidequestvr.com/app/1237/groove-fit-kingdom
sweepervr,free,4.4,10,https://sidequestvr.com/app/203/sweepervr
experimenta1t,free,3.62,21,https://sidequestvr.com/app/243/experiment-a1t
luna:episode1-leftbehind(demo),demo,4.57,30,https://sidequestvr.com/app/5829/luna-episode-1-left-behind-demo
mrtk-questplayground,opensource,4.92,12,https://sidequestvr.com/app/430/mrtk-quest-playground
mk1driven,demo,3.38,8,https://sidequestvr.com/app/4902/mk1-driven
shotwood,paid,5.0,6,https://sidequestvr.com/app/5573/shotwood
simpleplankexperience,prerelease,3.14,14,https://sidequestvr.com/app/436/simple-plank-experience
