,name,price_type,rating,rating_count,url
295,justhoops,paid,3.5,4,https://sidequestvr.com/app/3969/just-hoops
296,alvrnightly-oculusquest,opensource,2.33,3,https://sidequestvr.com/app/2281/alvr-nightly-oculus-quest
297,groovefitkingdom!,free,4.62,34,https://sidequestvr.com/app/1237/groove-fit-kingdom
298,sweepervr,free,4.4,10,https://sidequestvr.com/app/203/sweepervr
299,experimenta1t,free,3.62,21,https://sidequestvr.com/app/243/experiment-a1t
300,luna:episode1-leftbehind(demo),demo,4.57,30,https://sidequestvr.com/app/5829/luna-episode-1-left-behind-demo
301,mrtk-questplayground,opensource,4.92,12,https://sidequestvr.com/app/430/mrtk-quest-playground
302,mk1driven,demo,3.38,8,https://sidequestvr.com/app/4902/mk1-driven
303,shotwood,paid,5.0,6,https://sidequestvr.com/app/5573/shotwood
304,simpleplankexperience,prerelease,3.14,14,https://sidequestvr.com/app/436/simple-plank-experience
305,dungeonofnekros,free,4.0,2,https://sidequestvr.com/app/4831/dungeon-of-nekros
306,vrtankz!,free,3.56,25,https://sidequestvr.com/app/534/vr-tankz
307,virtualbarbershop,paidprerelease,5.0,1,https://sidequestvr.com/app/5565/virtual-barbershop
308,customhome:fortnitebattleroyalebusskyview,free,4.17,6,https://sidequestvr.com/app/8095/custom-home-fortnite-battle-royale-bus-sky-view
309,demonrush,free,3.67,3,https://sidequestvr.com/app/5036/demon-rush
310,zombieinvasionquest,prerelease,4.07,14,https://sidequestvr.com/app/1987/zombie-invasion-quest
311,snapshotvr,prerelease,4.79,29,https://sidequestvr.com/app/6424/snapshot-vr
312,bulletroulette,paid,4.5,4,https://sidequestvr.com/app/5065/bullet-roulette
313,questdrive,free,3.55,11,https://sidequestvr.com/app/220/questdrive
314,themeparksimulator:rollercoasterparadisevr,demo,3.0,1,https://sidequestvr.com/app/5717/theme-park-simulator-rollercoaster-paradise-vr
315,dragondancevr,free,4.6,15,https://sidequestvr.com/app/1082/dragon-dance-vr
316,cyberquestvr,free,2.56,9,https://sidequestvr.com/app/1286/cyber-quest-vr
317,taverntales:tabletopadventures,prerelease,4.71,24,https://sidequestvr.com/app/501/tavern-tales-tabletop-adventures
318,thefinalovers,free,4.24,49,https://sidequestvr.com/app/2109/the-final-overs
319,customhome:pokecentre-swordandshield,free,3.83,6,https://sidequestvr.com/app/3981/custom-home-pokecentre-sword-and-shield
320,customhome:minecraftgodvalley,free,3.0,1,https://sidequestvr.com/app/3977/custom-home-minecraft-god-valley
321,david,paid,4.29,21,https://sidequestvr.com/app/2628/david
322,requiemindminor(testonly),prerelease,3.0,19,https://sidequestvr.com/app/365/requiem-in-d-minor-test-only
323,dungeontrain-procedurallooter-trainofdecay,paidprerelease,4.44,61,https://sidequestvr.com/app/522/dungeon-train-procedural-looter-train-of-decay
324,squash-up,prerelease,4.09,11,https://sidequestvr.com/app/1407/squash-up
325,squadronone,free,4.65,17,https://sidequestvr.com/app/5087/squadron-one
326,vrescaperoom,free,3.65,17,https://sidequestvr.com/app/1389/vr-escape-room
327,customhome:r.p.d.raccoonpolicedepartment-residentevil2remake,free,5.0,12,https://sidequestvr.com/app/6569/custom-home-rpd-raccoon-police-department-resident-evil-2-remake
328,jigsaw360,paid,4.6,30,https://sidequestvr.com/app/25/jigsaw-360
329,customhome:rick'ssecrettoilet,free,4.71,7,https://sidequestvr.com/app/4330/custom-home-ricks-secret-toilet
330,blanketworks,free,4.77,13,https://sidequestvr.com/app/1030/blanketworks
331,scrap-testarea,demo,4.72,29,https://sidequestvr.com/app/1819/scrap-test-area
