,name,price_type,rating,rating_count,url,click,view
167,cactuscowboyportalvr,free,4.63,46,https://sidequestvr.com/app/1049/cactus-cowboy-portal-vr,32.4k,82.9k
168,customhome:minecraftbedwarslobby,free,4.33,12,https://sidequestvr.com/app/3909/custom-home-minecraft-bedwars-lobby,35k,78.8k
169,z-racedemo,demo,4.64,44,https://sidequestvr.com/app/4811/z-race-demo,31.8k,102.2k
170,bigballersbasketball,paidprerelease,4.56,9,https://sidequestvr.com/app/4616/big-ballers-basketball,34.9k,75.3k
171,meteoricvr,free,5.0,13,https://sidequestvr.com/app/6092/meteoric-vr,34.2k,59.7k
172,racket:nxdemo,demo,4.78,27,https://sidequestvr.com/app/2457/racket-nx-demo,31.5k,75.9k
173,ultrashooter:jurassicdinosaurs(shoot'emupdinohunter),paid,4.67,15,https://sidequestvr.com/app/5614/ultra-shooter-jurassic-dinosaurs-shootem-up-dino-hunter,32.6k,83.2k
174,ancientdungeonbeta,free,4.36,14,https://sidequestvr.com/app/5713/ancient-dungeon-beta,32.6k,52.4k
175,gladiatus,free,4.5,6,https://sidequestvr.com/app/4137/gladiatus,32.6k,76.1k
176,canyoudoit-vrexperience,paid,4.06,16,https://sidequestvr.com/app/3219/can-you-do-it-vr-experience,31.6k,114.3k
177,findmyphoneapp-thegame,free,5.0,14,https://sidequestvr.com/app/2939/find-my-phone-app-the-game,31.3k,86.3k
178,volleggball-demo,free,4.41,22,https://sidequestvr.com/app/2230/volleggball-demo,30.3k,53.6k
179,exvriencegolfclub,paidprerelease,4.11,19,https://sidequestvr.com/app/1621/exvrience-golf-club,30.5k,65k
180,handparticle,free,4.72,36,https://sidequestvr.com/app/2012/handparticle,28.4k,70.1k
181,duckhuntvr,free,4.27,26,https://sidequestvr.com/app/4737/duck-hunt-vr,29k,60k
182,marineversecup-sailing,prerelease,4.63,24,https://sidequestvr.com/app/324/marineverse-cup-sailing,28.4k,85.7k
183,customhome:matrix-loadingvoid,free,3.87,15,https://sidequestvr.com/app/3942/custom-home-matrix-loading-void,29.3k,56.7k
184,phin:physicssandboxalpha,prerelease,4.42,57,https://sidequestvr.com/app/4382/phin-physics-sandbox-alpha,25k,40k
185,dvg:conqueringgiantsdemo,free,3.63,8,https://sidequestvr.com/app/3665/dvg-conquering-giants-demo,29.3k,94.3k
186,ghostsinthemachine,free,4.52,33,https://sidequestvr.com/app/1467/ghosts-in-the-machine,26.9k,125.7k
187,catchasers,free,4.3,71,https://sidequestvr.com/app/7323/cat-chasers,23.7k,40.1k
188,customhomemapper,paid,4.4,45,https://sidequestvr.com/app/1701/custom-home-mapper,25.3k,155.4k
189,escapeterrorist,free,3.67,9,https://sidequestvr.com/app/2421/escape-terrorist,28.6k,68.4k
190,handtrackingdemos,free,4.28,18,https://sidequestvr.com/app/398/hand-tracking-demos,27.4k,55.3k
191,deadsecond,paid,4.86,37,https://sidequestvr.com/app/5707/dead-second,25.1k,74.8k
192,cat,free,3.4,5,https://sidequestvr.com/app/1579/cat,28k,77.5k
193,blacktophoops-vrbasketball,free,4.78,32,https://sidequestvr.com/app/8231/blacktop-hoops-vr-basketball,24.9k,38k
194,marathrunfullgamepre-release[alphaversion],prerelease,4.6,20,https://sidequestvr.com/app/3747/marathrun-full-game-pre-release-alpha-version,26k,54.6k
195,attackonreality,free,3.5,18,https://sidequestvr.com/app/2407/attack-on-reality,26.4k,90.7k
196,customhome:naruto,free,4.58,12,https://sidequestvr.com/app/3956/custom-home-naruto,26.2k,59.6k
197,gamebov,free,4.11,62,https://sidequestvr.com/app/1199/gamebov,22k,87.8k
198,songbeater:quitemytempo!,paid,4.46,54,https://sidequestvr.com/app/385/song-beater-quite-my-tempo,22.1k,146.8k
199,pioneer:endlessjourney,free,4.7,69,https://sidequestvr.com/app/6960/pioneer-endless-journey,20.4k,46.6k
200,granny2vr(unofficial),prerelease,4.36,14,https://sidequestvr.com/app/4663/granny-2-vr-unofficial,25.4k,50.3k
201,lambda1vrlauncher,opensource,4.68,31,https://sidequestvr.com/app/641/lambda1vr-launcher,23.6k,58.8k
202,homeplatebaseballapplab,paid,3.69,13,https://sidequestvr.com/app/27/home-plate-baseball-app-lab,25.2k,61.1k
203,attackontitanrevive-fangame,free,3.19,21,https://sidequestvr.com/app/6099/attack-on-titan-revive-fan-game,24.4k,84k
204,slowp,free,4.54,26,https://sidequestvr.com/app/1322/slowp,23.4k,56.7k
205,🏮crazykungfu🏮,paid,4.76,82,https://sidequestvr.com/app/1195/crazy-kung-fu,17.9k,87.3k
