name,price_type,rating,rating_count,url,click,view
freddyfazbear'spizzeriasimulatorvrfangame,free,4.33,15.0,https://sidequestvr.com/app/2463/freddy-fazbears-pizzeria-simulator-vr-fan-game,37.9k,97.6k
airhockeyvr(physicallybasedmultiplayer/aibots),free,4.37,19.0,https://sidequestvr.com/app/4709/airhockeyvr-physically-based-multiplayer-ai-bots,37.6k,60.4k
vridge2,demo,2.8,30.0,https://sidequestvr.com/app/10/vridge-2,37.5k,109.4k
mythicmage,paid,4.07,27.0,https://sidequestvr.com/app/1462/mythic-mage,36.1k,195.5k
guardiansvr,paidprerelease,4.86,37.0,https://sidequestvr.com/app/2804/guardians-vr,34.7k,122.5k
grappletournamentdemo,free,4.91,11.0,https://sidequestvr.com/app/5231/grapple-tournament-demo,36.8k,76.2k
skysquadron,demo,4.48,31.0,https://sidequestvr.com/app/1343/sky-squadron,34.5k,110.1k
cactuscowboyportalvr,free,4.63,46.0,https://sidequestvr.com/app/1049/cactus-cowboy-portal-vr,32.4k,83k
customhome:minecraftbedwarslobby,free,4.33,12.0,https://sidequestvr.com/app/3909/custom-home-minecraft-bedwars-lobby,35k,78.9k
z-racedemo,demo,4.64,44.0,https://sidequestvr.com/app/4811/z-race-demo,31.8k,102.3k
bigballersbasketball,paidprerelease,4.56,9.0,https://sidequestvr.com/app/4616/big-ballers-basketball,34.9k,75.3k
meteoricvr,free,5.0,13.0,https://sidequestvr.com/app/6092/meteoric-vr,34.2k,59.8k
racket:nxdemo,demo,4.78,27.0,https://sidequestvr.com/app/2457/racket-nx-demo,31.5k,75.9k
ultrashooter:jurassicdinosaurs(shoot'emupdinohunter),paid,4.67,15.0,https://sidequestvr.com/app/5614/ultra-shooter-jurassic-dinosaurs-shootem-up-dino-hunter,32.6k,83.2k
ancientdungeonbeta,free,4.36,14.0,https://sidequestvr.com/app/5713/ancient-dungeon-beta,32.6k,52.5k
gladiatus,free,4.5,6.0,https://sidequestvr.com/app/4137/gladiatus,32.6k,76.2k
canyoudoit-vrexperience,paid,4.06,16.0,https://sidequestvr.com/app/3219/can-you-do-it-vr-experience,31.6k,114.4k
findmyphoneapp-thegame,free,5.0,14.0,https://sidequestvr.com/app/2939/find-my-phone-app-the-game,31.3k,86.4k
volleggball-demo,free,4.41,22.0,https://sidequestvr.com/app/2230/volleggball-demo,30.3k,53.6k
exvriencegolfclub,paidprerelease,4.11,19.0,https://sidequestvr.com/app/1621/exvrience-golf-club,30.5k,65k
handparticle,free,4.72,36.0,https://sidequestvr.com/app/2012/handparticle,28.5k,70.2k
duckhuntvr,free,4.27,26.0,https://sidequestvr.com/app/4737/duck-hunt-vr,29.1k,60k
marineversecup-sailing,prerelease,4.63,24.0,https://sidequestvr.com/app/324/marineverse-cup-sailing,28.4k,85.7k
customhome:matrix-loadingvoid,free,3.87,15.0,https://sidequestvr.com/app/3942/custom-home-matrix-loading-void,29.3k,56.7k
phin:physicssandboxalpha,prerelease,4.42,57.0,https://sidequestvr.com/app/4382/phin-physics-sandbox-alpha,25.1k,40.1k
dvg:conqueringgiantsdemo,free,3.63,8.0,https://sidequestvr.com/app/3665/dvg-conquering-giants-demo,29.3k,94.4k
ghostsinthemachine,free,4.52,33.0,https://sidequestvr.com/app/1467/ghosts-in-the-machine,26.9k,125.7k
catchasers,free,4.3,71.0,https://sidequestvr.com/app/7323/cat-chasers,23.7k,40.2k
customhomemapper,paid,4.4,45.0,https://sidequestvr.com/app/1701/custom-home-mapper,25.3k,155.5k
escapeterrorist,free,3.67,9.0,https://sidequestvr.com/app/2421/escape-terrorist,28.6k,68.5k
